ENCFF603OCV.bed.gz,YY1  
ENCFF283XOP.bed.gz,H3K27ac  
ENCFF001UAN.bed.gz,POLR2A  
ENCFF266XIG.bed.gz,H3K4me1  
ENCFF688DWW.bed.gz,H3K36me3  
ENCFF001XCT.bed.gz,H3K27me3  
ENCFF753VUU.bed.gz,H3K27me3  
ENCFF825NDS.bed.gz,H3K4me3  
ENCFF001TAA.bed.gz,REST  
ENCFF013DSE.bed.gz,H3K9me3  
ENCFF181QUT.bed.gz,H3K9me3  
ENCFF327ABY.bed.gz,H3K27ac  
ENCFF872TFI.bed.gz,H3K36me3  
ENCFF210TRJ.bed.gz,H3K79me2  
ENCFF849CHG.bed.gz,POLR2A  
ENCFF557ZZJ.bed.gz,H3K4me3  
ENCFF084JBH.bed.gz,H3K4me2  
ENCFF112AWM.bed.gz,H3K79me2  
ENCFF930NCR.bed.gz,H3K4me3  
ENCFF927MZZ.bed.gz,POLR2AphosphoS5  
ENCFF651ZPC.bed.gz,REST  
ENCFF892VXV.bed.gz,H3K27ac  
ENCFF590RYT.bed.gz,H3K4me3  
ENCFF546HCW.bed.gz,H4K20me1  
ENCFF126LUU.bed.gz,H3K27me3  
ENCFF001VGG.bed.gz,POLR2A  
ENCFF754JIP.bed.gz,POLR2AphosphoS5  
ENCFF889IXP.bed.gz,H3K27ac  
ENCFF001SWK.bed.gz,H3K27ac  
ENCFF139AXG.bed.gz,H3K27me3  
ENCFF957WEQ.bed.gz,POLR2A  
ENCFF824FIL.bed.gz,RAD21  
ENCFF001XCS.bed.gz,H3K4me3  
ENCFF495DBS.bed.gz,H3K4me3  
ENCFF424MBW.bed.gz,H3K36me3  
ENCFF001UQU.bed.gz,EP300  
ENCFF002CMH.bed.gz,POLR2AphosphoS5  
ENCFF507QPR.bed.gz,H3K4me3  
ENCFF575IQF.bed.gz,H3K4me2  
ENCFF138GWZ.bed.gz,H3K27me3  
ENCFF468SET.bed.gz,H4K20me1  
ENCFF816HFQ.bed.gz,H3K36me3  
ENCFF081VFH.bed.gz,H3K9me3  
ENCFF656LPL.bed.gz,H3K4me3  
ENCFF580JQM.bed.gz,POLR2AphosphoS5  
ENCFF695SUM.bed.gz,H3K27me3  
ENCFF002CIC.bed.gz,YY1  
ENCFF526HNA.bed.gz,H3K27me3  
ENCFF362OBM.bed.gz,H3K27ac  
ENCFF001UST.bed.gz,POLR2A  
ENCFF854BPP.bed.gz,POLR2AphosphoS5  
ENCFF427HSH.bed.gz,POLR2AphosphoS5  
ENCFF270QAB.bed.gz,POLR2A  
ENCFF524AYM.bed.gz,H3K27ac  
ENCFF002COJ.bed.gz,POLR2A  
ENCFF065SUI.bed.gz,H3K4me3  
ENCFF554MSM.bed.gz,H3K4me3  
ENCFF001XCK.bed.gz,H3K27me3  
ENCFF765BPR.bed.gz,H3K4me1  
ENCFF988KVH.bed.gz,H4K20me1  
ENCFF001WWO.bed.gz,H3K27me3  
ENCFF621IZL.bed.gz,H3K27ac  
ENCFF831BNS.bed.gz,H3K27me3  
ENCFF469AWW.bed.gz,H3K9ac  
ENCFF001UIM.bed.gz,REST  
ENCFF493BOQ.bed.gz,H3K27ac  
ENCFF022SSF.bed.gz,H3K36me3  
ENCFF216OCU.bed.gz,RAD21  
ENCFF036YSN.bed.gz,H3K9ac  
ENCFF439XWG.bed.gz,H3K27ac  
ENCFF947DDD.bed.gz,H3K27ac  
ENCFF782UBH.bed.gz,H2AFZ  
ENCFF564TFF.bed.gz,H3K4me3  
ENCFF181XHB.bed.gz,H3K36me3  
ENCFF545SKL.bed.gz,H3K4me3  
ENCFF302BSC.bed.gz,H3K27me3  
ENCFF363YMD.bed.gz,H4K20me1  
ENCFF761YXI.bed.gz,H3K27me3  
ENCFF002CJZ.bed.gz,POLR2A  
ENCFF222YKA.bed.gz,H3K27me3  
ENCFF760QMV.bed.gz,H3K27me3  
ENCFF714LTH.bed.gz,H3K4me3  
ENCFF951RZL.bed.gz,H3K36me3  
ENCFF393ETW.bed.gz,H3K9ac  
ENCFF219BHC.bed.gz,RAD21  
ENCFF002CFU.bed.gz,REST  
ENCFF001TAX.bed.gz,H3K9ac  
ENCFF062BXP.bed.gz,YY1  
ENCFF152ZPG.bed.gz,H3K4me3  
ENCFF957JAM.bed.gz,H3K4me1  
ENCFF406ZDS.bed.gz,RAD21  
ENCFF001UIS.bed.gz,POLR2AphosphoS5  
ENCFF985PMN.bed.gz,H3K4me2  
ENCFF240RSN.bed.gz,H3K4me3  
ENCFF955BWA.bed.gz,H3K36me3  
ENCFF872EWT.bed.gz,H3K27me3  
ENCFF313CPC.bed.gz,EP300  
ENCFF001WZY.bed.gz,H3K36me3  
ENCFF781PAL.bed.gz,REST  
ENCFF229NAV.bed.gz,POLR2AphosphoS5  
ENCFF001SYK.bed.gz,H3K27me3  
ENCFF001STZ.bed.gz,H3K79me2  
ENCFF001XBH.bed.gz,H3K4me3  
ENCFF253WGM.bed.gz,H3K4me3  
ENCFF375EJA.bed.gz,H3K9ac  
ENCFF098OZG.bed.gz,H3K4me3  
ENCFF971NST.bed.gz,H3K4me3  
ENCFF392REV.bed.gz,H3K27me3  
ENCFF002CNJ.bed.gz,REST  
ENCFF538LJI.bed.gz,POLR2A  
ENCFF113COR.bed.gz,H3K36me3  
ENCFF293GWY.bed.gz,H3K4me3  
ENCFF173ULG.bed.gz,H3K9ac  
ENCFF310NXU.bed.gz,H3K4me3  
ENCFF759WEY.bed.gz,H2AFZ  
ENCFF171OLZ.bed.gz,H3K4me1  
ENCFF934VWG.bed.gz,H3K4me1  
ENCFF200AXJ.bed.gz,EP300  
ENCFF006QFE.bed.gz,H3K27me3  
ENCFF344YEZ.bed.gz,H3K4me1  
ENCFF102YDR.bed.gz,H3K27me3  
ENCFF972LXR.bed.gz,H3K9ac  
ENCFF325ZIU.bed.gz,H3K4me2  
ENCFF744UMD.bed.gz,H3K4me3  
ENCFF916TQA.bed.gz,H3K4me3  
ENCFF094LOO.bed.gz,H3K36me3  
ENCFF467AZY.bed.gz,H3K27me3  
ENCFF295MVY.bed.gz,H3K4me3  
ENCFF850EOY.bed.gz,H3K9me3  
ENCFF476YIX.bed.gz,H3K4me1  
ENCFF797ZMR.bed.gz,H3K4me3  
ENCFF001TAO.bed.gz,H3K27ac  
ENCFF826SRB.bed.gz,H3K36me3  
ENCFF904HMR.bed.gz,H3K27ac  
ENCFF693JWR.bed.gz,H3K4me1  
ENCFF041DEZ.bed.gz,H3K36me3  
ENCFF074LXY.bed.gz,POLR2AphosphoS5  
ENCFF781NBN.bed.gz,H3K36me3  
ENCFF606TUM.bed.gz,H2AFZ  
ENCFF480HPY.bed.gz,H3K27me3  
ENCFF210FOA.bed.gz,YY1  
ENCFF002ENP.bed.gz,RAD21  
ENCFF779FNS.bed.gz,H3K27ac  
ENCFF895EBF.bed.gz,H3K36me3  
ENCFF982EZU.bed.gz,H3K4me3  
ENCFF757NEZ.bed.gz,H2AFZ  
ENCFF029ZPV.bed.gz,H3K27me3  
ENCFF213GUQ.bed.gz,H3K4me3  
ENCFF005SMC.bed.gz,H3K36me3  
ENCFF001WZW.bed.gz,H3K27me3  
ENCFF039LKI.bed.gz,H3K4me3  
ENCFF002CXN.bed.gz,POLR2A  
ENCFF390NBA.bed.gz,POLR2AphosphoS5  
ENCFF047FUX.bed.gz,H3K27me3  
ENCFF104BLB.bed.gz,H3K4me1  
ENCFF147VYF.bed.gz,H3K27ac  
ENCFF758GUY.bed.gz,RAD21  
ENCFF750UGF.bed.gz,H3K4me3  
ENCFF335KIE.bed.gz,H2AFZ  
ENCFF001UBT.bed.gz,REST  
ENCFF511SET.bed.gz,H3K9me3  
ENCFF939NXA.bed.gz,POLR2A  
ENCFF988MQM.bed.gz,H3K9me3  
ENCFF300WCK.bed.gz,H3K27ac  
ENCFF327DDV.bed.gz,H3K27me3  
ENCFF126NVW.bed.gz,H3K9me3  
ENCFF791TCD.bed.gz,H3K4me2  
ENCFF028QWM.bed.gz,H3K79me2  
ENCFF001UOE.bed.gz,REST  
ENCFF328XKC.bed.gz,YY1  
ENCFF299XDT.bed.gz,H3K4me1  
ENCFF149COO.bed.gz,H3K36me3  
ENCFF175WCL.bed.gz,H3K27ac  
ENCFF339HRE.bed.gz,H2AFZ  
ENCFF170PDN.bed.gz,POLR2A  
ENCFF611SDW.bed.gz,H3K36me3  
ENCFF761GQJ.bed.gz,H3K36me3  
ENCFF906GWO.bed.gz,H3K27me3  
ENCFF995QIE.bed.gz,H3K4me3  
ENCFF001VOI.bed.gz,POLR2A  
ENCFF508UDQ.bed.gz,H3K27ac  
ENCFF001VDC.bed.gz,H3K9ac  
ENCFF801THK.bed.gz,H3K27me3  
ENCFF996HML.bed.gz,H3K27ac  
ENCFF001WXC.bed.gz,H3K4me3  
ENCFF162TXY.bed.gz,H3K9me3  
ENCFF647MSK.bed.gz,POLR2A  
ENCFF691IJE.bed.gz,H3K27me3  
ENCFF993WTL.bed.gz,H3K27me3  
ENCFF239PHV.bed.gz,H2AFZ  
ENCFF001WZE.bed.gz,H3K27me3  
ENCFF904DTJ.bed.gz,H3K4me1  
ENCFF508ZKT.bed.gz,H3K36me3  
ENCFF726YIL.bed.gz,H3K27ac  
ENCFF189CGV.bed.gz,H3K4me3  
ENCFF816HLJ.bed.gz,H4K20me1  
ENCFF748LQC.bed.gz,H3K36me3  
ENCFF783EAZ.bed.gz,H3K36me3  
ENCFF438VLN.bed.gz,H3K27ac  
ENCFF001SWJ.bed.gz,H3K9me3  
ENCFF337AOM.bed.gz,H3K36me3  
ENCFF467AFA.bed.gz,H3K4me3  
ENCFF592OGN.bed.gz,H3K4me3  
ENCFF453BMM.bed.gz,H3K36me3  
ENCFF001SZK.bed.gz,H3K79me2  
ENCFF452OXY.bed.gz,H2AFZ  
ENCFF001VFY.bed.gz,POLR2A  
ENCFF353NPM.bed.gz,H3K4me1  
ENCFF585JQZ.bed.gz,H3K4me1  
ENCFF369VCL.bed.gz,H3K9me3  
ENCFF662KWQ.bed.gz,H3K9ac  
ENCFF417SUG.bed.gz,H4K20me1  
ENCFF422QLQ.bed.gz,H3K4me3  
ENCFF920VJI.bed.gz,H3K4me1  
ENCFF002CQC.bed.gz,POLR2A  
ENCFF968IGR.bed.gz,H3K27ac  
ENCFF445PUZ.bed.gz,H3K79me2  
ENCFF001WWY.bed.gz,H3K4me3  
ENCFF396LMM.bed.gz,H3K79me2  
ENCFF133CVI.bed.gz,H3K79me2  
ENCFF231OXX.bed.gz,H3K27me3  
ENCFF488YDO.bed.gz,H3K9me3  
ENCFF150NIG.bed.gz,H3K4me1  
ENCFF001XBI.bed.gz,H3K4me3  
ENCFF414MYV.bed.gz,H3K9me3  
ENCFF001XHW.bed.gz,H3K36me3  
ENCFF002CIO.bed.gz,POLR2A  
ENCFF752JNV.bed.gz,H3K36me3  
ENCFF609RVI.bed.gz,H3K4me1  
ENCFF944YBJ.bed.gz,H2AFZ  
ENCFF893EYX.bed.gz,H3K4me1  
ENCFF375GMZ.bed.gz,H3K27me3  
ENCFF539VNF.bed.gz,H3K4me1  
ENCFF569FUY.bed.gz,H3K36me3  
ENCFF940UWV.bed.gz,H3K4me1  
ENCFF330BOI.bed.gz,H3K4me3  
ENCFF189BED.bed.gz,H3K27ac  
ENCFF855JEY.bed.gz,H3K27ac  
ENCFF944RTB.bed.gz,H3K4me3  
ENCFF002CUN.bed.gz,EP300  
ENCFF967AUT.bed.gz,H3K4me3  
ENCFF666FZP.bed.gz,H3K4me1  
ENCFF860SHD.bed.gz,EP300  
ENCFF094PMF.bed.gz,H3K27me3  
ENCFF931ZDN.bed.gz,H3K4me3  
ENCFF001UAK.bed.gz,POLR2AphosphoS5  
ENCFF770CIC.bed.gz,RAD21  
ENCFF629BRY.bed.gz,H3K27ac  
ENCFF255KCS.bed.gz,H2AFZ  
ENCFF791PZC.bed.gz,H3K27me3  
ENCFF769RHX.bed.gz,H3K4me2  
ENCFF778RVF.bed.gz,H3K79me2  
ENCFF001UQA.bed.gz,POLR2AphosphoS5  
ENCFF002CHH.bed.gz,REST  
ENCFF872OTV.bed.gz,H3K27me3  
ENCFF507YFR.bed.gz,H3K4me3  
ENCFF487RZZ.bed.gz,H3K27ac  
ENCFF094STZ.bed.gz,H3K4me3  
ENCFF001UBZ.bed.gz,POLR2A  
ENCFF001XEF.bed.gz,H3K4me3  
ENCFF468WWR.bed.gz,H3K4me3  
ENCFF946HAJ.bed.gz,H3K27me3  
ENCFF301QPS.bed.gz,H3K27me3  
ENCFF136SWB.bed.gz,H2AFZ  
ENCFF448MNX.bed.gz,H3K36me3  
ENCFF530OJG.bed.gz,H3K27me3  
ENCFF586SUS.bed.gz,H3K4me1  
ENCFF568OLO.bed.gz,H3K36me3  
ENCFF686JDP.bed.gz,H3K36me3  
ENCFF784PDY.bed.gz,H3K27me3  
ENCFF001SYS.bed.gz,H4K20me1  
ENCFF178KRS.bed.gz,H3K9ac  
ENCFF241CUB.bed.gz,H4K20me1  
ENCFF920WZQ.bed.gz,H3K4me3  
ENCFF807SMT.bed.gz,H3K4me3  
ENCFF215JJY.bed.gz,POLR2A  
ENCFF458LUV.bed.gz,H3K79me2  
ENCFF245WLI.bed.gz,H3K4me1  
ENCFF780HSY.bed.gz,H3K27me3  
ENCFF641FAA.bed.gz,H3K36me3  
ENCFF383WGG.bed.gz,H4K20me1  
ENCFF558VNZ.bed.gz,H3K4me3  
ENCFF780KQE.bed.gz,H3K27ac  
ENCFF725GND.bed.gz,YY1  
ENCFF375QRI.bed.gz,H3K4me3  
ENCFF650ZWY.bed.gz,H3K36me3  
ENCFF132MGX.bed.gz,H3K27me3  
ENCFF161OVA.bed.gz,POLR2A  
ENCFF001UON.bed.gz,REST  
ENCFF002CHN.bed.gz,POLR2AphosphoS5  
ENCFF998LIN.bed.gz,POLR2A  
ENCFF059BOD.bed.gz,H3K4me1  
ENCFF425XZI.bed.gz,H2AFZ  
ENCFF806MDV.bed.gz,REST  
ENCFF170GFF.bed.gz,H3K36me3  
ENCFF384YSJ.bed.gz,H3K4me3  
ENCFF001WUM.bed.gz,H3K4me3  
ENCFF609CQM.bed.gz,H3K4me3  
ENCFF001UPU.bed.gz,REST  
ENCFF314QBW.bed.gz,H3K27me3  
ENCFF885NNA.bed.gz,EP300  
ENCFF620IYN.bed.gz,H4K20me1  
ENCFF999PEE.bed.gz,H3K4me1  
ENCFF793YWX.bed.gz,H3K79me2  
ENCFF001TIC.bed.gz,POLR2A  
ENCFF755GYS.bed.gz,H3K27me3  
ENCFF935CGW.bed.gz,H3K36me3  
ENCFF087TMV.bed.gz,EP300  
ENCFF400IDI.bed.gz,H3K36me3  
ENCFF412ACC.bed.gz,POLR2AphosphoS5  
ENCFF099LMD.bed.gz,H3K4me2  
ENCFF001XCU.bed.gz,H3K27me3  
ENCFF001XJD.bed.gz,H3K4me3  
ENCFF295TWF.bed.gz,H3K4me1  
ENCFF753BAK.bed.gz,H3K4me3  
ENCFF160FOW.bed.gz,H3K9me3  
ENCFF844ORN.bed.gz,H3K4me2  
ENCFF576SCQ.bed.gz,H3K4me3  
ENCFF729JWY.bed.gz,H3K4me3  
ENCFF418BIN.bed.gz,H3K9ac  
ENCFF547NJW.bed.gz,POLR2A  
ENCFF793MNH.bed.gz,H3K4me1  
ENCFF520FRP.bed.gz,H3K9ac  
ENCFF731ABG.bed.gz,H3K4me1  
ENCFF953NJX.bed.gz,POLR2A  
ENCFF001UFB.bed.gz,POLR2A  
ENCFF890RCT.bed.gz,H3K9ac  
ENCFF733GLZ.bed.gz,H3K4me3  
ENCFF840FHF.bed.gz,H3K27me3  
ENCFF957XLF.bed.gz,H3K27me3  
ENCFF348SPT.bed.gz,H3K27ac  
ENCFF533IKU.bed.gz,H3K27me3  
ENCFF920QCC.bed.gz,H4K20me1  
ENCFF001WWA.bed.gz,H3K27me3  
ENCFF108DAJ.bed.gz,H3K4me2  
ENCFF019JKW.bed.gz,H3K4me3  
ENCFF001UET.bed.gz,YY1  
ENCFF757MIJ.bed.gz,H3K27ac  
ENCFF001VDG.bed.gz,H3K4me3  
ENCFF876VZQ.bed.gz,POLR2A  
ENCFF744YIJ.bed.gz,H3K9me3  
ENCFF836QOM.bed.gz,H4K20me1  
ENCFF911HMP.bed.gz,H3K27me3  
ENCFF624ARZ.bed.gz,H3K4me3  
ENCFF553AWG.bed.gz,H4K20me1  
ENCFF952BZK.bed.gz,H3K4me3  
ENCFF920XXZ.bed.gz,H3K27me3  
ENCFF414ESK.bed.gz,H3K9me3  
ENCFF792BKV.bed.gz,H3K27ac  
ENCFF810OJM.bed.gz,H3K4me1  
ENCFF884SBE.bed.gz,REST  
ENCFF689LMK.bed.gz,H3K36me3  
ENCFF358TDC.bed.gz,H3K36me3  
ENCFF644IVA.bed.gz,H3K4me3  
ENCFF171KMT.bed.gz,H3K9me3  
ENCFF271VUK.bed.gz,YY1  
ENCFF501WSE.bed.gz,H3K36me3  
ENCFF032NXO.bed.gz,H3K27me3  
ENCFF404HDR.bed.gz,H3K79me2  
ENCFF580ENS.bed.gz,H3K36me3  
ENCFF886IPW.bed.gz,H3K4me1  
ENCFF650JNU.bed.gz,H3K27ac  
ENCFF001UBV.bed.gz,EP300  
ENCFF180BOD.bed.gz,H3K4me1  
ENCFF374LID.bed.gz,RAD21  
ENCFF150ABP.bed.gz,EP300  
ENCFF109SIZ.bed.gz,H3K4me1  
ENCFF192JEC.bed.gz,H3K4me3  
ENCFF401LFZ.bed.gz,H3K27ac  
ENCFF565WYI.bed.gz,H4K20me1  
ENCFF040LEZ.bed.gz,H4K20me1  
ENCFF192EAM.bed.gz,H3K36me3  
ENCFF171ZAR.bed.gz,H3K9ac  
ENCFF462DKM.bed.gz,H3K4me3  
ENCFF001XHB.bed.gz,H3K4me3  
ENCFF001TVK.bed.gz,POLR2A  
ENCFF001WXU.bed.gz,H3K4me3  
ENCFF001SYD.bed.gz,H3K9ac  
ENCFF001UTF.bed.gz,POLR2A  
ENCFF888JDR.bed.gz,EP300  
ENCFF639MOB.bed.gz,H3K27ac  
ENCFF748CNN.bed.gz,H3K27me3  
ENCFF619IKK.bed.gz,H3K4me3  
ENCFF900AQL.bed.gz,H4K20me1  
ENCFF001UQO.bed.gz,YY1  
ENCFF151KPU.bed.gz,H3K4me2  
ENCFF690CXR.bed.gz,H3K36me3  
ENCFF001XGW.bed.gz,H3K4me3  
ENCFF721YQO.bed.gz,H3K4me1  
ENCFF221LDE.bed.gz,H3K27ac  
ENCFF601GLM.bed.gz,RAD21  
ENCFF945AET.bed.gz,H3K27me3  
ENCFF001XDC.bed.gz,H3K4me3  
ENCFF924EUP.bed.gz,H3K36me3  
ENCFF936IDA.bed.gz,H3K4me3  
ENCFF179IFB.bed.gz,H3K9me3  
ENCFF001VCV.bed.gz,H3K27me3  
ENCFF384PXE.bed.gz,H3K36me3  
ENCFF651LMT.bed.gz,H3K4me2  
ENCFF265OKF.bed.gz,H3K27ac  
ENCFF435LEQ.bed.gz,H3K27ac  
ENCFF545TQY.bed.gz,H3K4me3  
ENCFF001UQW.bed.gz,RAD21  
ENCFF988BKX.bed.gz,REST  
ENCFF815SSU.bed.gz,H3K9me3  
ENCFF001WVV.bed.gz,H3K4me3  
ENCFF442YIG.bed.gz,POLR2A  
ENCFF046YQY.bed.gz,H3K27ac  
ENCFF845ZQH.bed.gz,H3K4me2  
ENCFF001XEG.bed.gz,H3K4me3  
ENCFF989IOI.bed.gz,H3K36me3  
ENCFF106QNH.bed.gz,H3K4me3  
ENCFF970VRO.bed.gz,H3K4me3  
ENCFF001XAW.bed.gz,H3K4me3  
ENCFF769WZF.bed.gz,H3K79me2  
ENCFF001VCP.bed.gz,H3K27me3  
ENCFF708GMO.bed.gz,RAD21  
ENCFF573ZGU.bed.gz,H4K20me1  
ENCFF001UTU.bed.gz,POLR2A  
ENCFF771AFC.bed.gz,H2AFZ  
ENCFF196RDZ.bed.gz,H3K36me3  
ENCFF895LSZ.bed.gz,H3K36me3  
ENCFF089ESN.bed.gz,H3K4me3  
ENCFF659LDA.bed.gz,H3K27me3  
ENCFF878LCK.bed.gz,H3K36me3  
ENCFF213TOG.bed.gz,H3K27ac  
